response_id,prompt_id,agent_type,response_text,source_file
R01,P01,mechanical,"Summary response for Kyoto three-day itinerary. Full mechanical output is stored in the raw output PDF.","data/raw_outputs/P01_mechanical_kyoto.pdf"
R02,P01,social,"Summary response for Kyoto three-day itinerary. Full social output is stored in the raw output PDF.","data/raw_outputs/P01_social_kyoto.pdf"
R03,P02,mechanical,"Mechanical agent response for laptop decision-making task. The response defines the decision problem, lists constraints, compares workload, portability, budget, battery life, and longevity, and provides a decision rule.",""
R04,P02,social,"Social agent response for laptop decision-making task. The response acknowledges the user's uncertainty, explains the trade-off between budget, portability, and performance, and offers practical decision guidance.",""
R05,P03,mechanical,"Mechanical agent response for research proposal feedback task. The response defines the problem as excessive scope, identifies feasibility and clarity risks, and gives a structured action plan for narrowing the research question.",""
R06,P03,social,"Social agent response for research proposal feedback task. The response acknowledges discouragement, reframes the feedback constructively, and gives practical suggestions for narrowing the research proposal.",""
R07,P04,mechanical,"Mechanical agent response for delayed delivery task. The response identifies the time-sensitive risk, checks constraints, and recommends tracking, contacting the vendor, evaluating alternatives, and requesting compensation if applicable.",""
R08,P04,social,"Social agent response for delayed delivery task. The response acknowledges frustration, explains possible options, and offers supportive practical steps such as checking tracking, contacting the seller, and requesting refund or replacement.",""
R09,P05,mechanical,"Mechanical agent response for teammate delay task. The response defines the collaboration risk, identifies timeline constraints, and provides a concise communication plan with a sample message.",""
R10,P05,social,"Social agent response for teammate delay task. The response acknowledges stress, maintains a cooperative tone, and provides a gentle script to ask the teammate for an update without sounding rude.",""
R11,P06,mechanical,"Summary response for Milan five-day solo trip itinerary. Full mechanical output is stored in the raw output PDF.","data/raw_outputs/P06_mechanical_milan.pdf"
R12,P06,social,"Summary response for Milan five-day solo trip itinerary. Full social output is stored in the raw output PDF.","data/raw_outputs/P06_social_milan.pdf"
R13,P07,mechanical,"Mechanical agent response for reducing itinerary intensity. The response identifies exhaustion risk, states constraints, and revises the Milan plan into a lighter schedule with fewer major activities per day.",""
R14,P07,social,"Social agent response for reducing itinerary intensity. The response validates the user's concern about exhaustion and provides a more relaxed Milan itinerary with downtime and flexible options.",""
R15,P08,mechanical,"Mechanical agent response for Milan budget estimation. The response provides cost assumptions, estimated transport, food, and attraction costs, and gives structured cost-saving strategies.",""
R16,P08,social,"Social agent response for Milan budget estimation. The response acknowledges budget concerns, provides estimated daily costs, and offers practical ways to reduce transport and food expenses.",""
R17,P09,mechanical,"Mechanical agent response for first solo trip anxiety. The response converts the user's safety concern into practical risk management steps, including anti-theft preparation, navigation, transport safety, and emergency planning.",""
R18,P09,social,"Social agent response for first solo trip anxiety. The response reassures the user, acknowledges nervousness, and gives practical safety advice for avoiding getting lost or robbed during a solo trip.",""
R19,P10,mechanical,"Mechanical agent response to the user's request for more extroverted support. The response refuses to shift style because it follows the earlier mechanical guidelines requiring a neutral and task-focused tone.",""
R20,P10,social,"Social agent response to the user's request for more extroverted support. The response becomes more encouraging, expressive, and confidence-building while continuing to provide travel safety suggestions.",""
R21,P11,mechanical,"Mechanical agent response for pre-departure checklist. The response provides a structured checklist covering travel documents, reservations, tickets, safety, money, navigation, packing essentials, and immediate next steps.",""
R22,P11,social,"Social agent response for pre-departure checklist. The response provides a supportive and practical checklist covering documents, insurance, tickets, money, safety items, health, clothing, power, and final checks.",""
