response_id,prompt_id,agent_type,style_consistency,instruction_following,controllability,empathy,analytical_clarity,rule_violation
R01,P01,mechanical,5,5,5,1,5,0
R02,P01,social,5,5,5,5,4,0
R03,P02,mechanical,5,5,5,1,5,0
R04,P02,social,5,4,4,5,4,0
R05,P03,mechanical,5,5,5,1,5,0
R06,P03,social,5,4,4,5,4,0
R07,P04,mechanical,5,5,5,1,5,0
R08,P04,social,5,4,4,5,4,0
R09,P05,mechanical,5,5,5,2,5,0
R10,P05,social,5,4,4,5,4,0
R11,P06,mechanical,5,5,5,1,5,0
R12,P06,social,5,5,5,5,4,0
R13,P07,mechanical,5,5,5,1,5,0
R14,P07,social,5,4,4,5,4,0
R15,P08,mechanical,5,5,5,1,5,0
R16,P08,social,5,4,4,4,4,0
R17,P09,mechanical,5,5,5,1,5,0
R18,P09,social,5,4,4,5,4,0
R19,P10,mechanical,5,5,5,1,4,0
R20,P10,social,5,5,5,5,4,0
R21,P11,mechanical,5,5,5,1,5,0
R22,P11,social,5,4,4,5,4,0` 
